company,slogan
Public Serv. Enterprise Inc.,We make things work for you.
Public Storage,Real storage expert.
Pulte Homes Inc.,It’s our philosophy. It’s the way we do business.
QUALCOMM Inc.,Enabling the Wireless Industry.
Qorvo,All Around You.
Quanta Services Inc.,Leadership in Performance and Safety.
Quest Diagnostics,The patient comes first.
Range Resources Corp.,Drilling is just the beginning.
Raytheon Co.,Customer Success is our mission.
Realty Income Corporation,The Monthly Dividend Company.
Red Hat Inc.,We’re stronger together.
Regeneron,Science to medicine.
Regions Financial Corp.,You can expect more stability.
Republic Services Inc,Think Green.
Reynolds American Inc.,Make it easy.
Robert Half International,Innovation and Excellence in consulting and staffing.
Rockwell Automation Inc.,Listen. Think. Solve.
Rockwell Collins,Building trust everyday.
Roper Industries,Simple Ideas. Powerful Results.
Ross Stores,Dress for Less.
Royal Caribbean Cruises Ltd,Get Out There.
Ryder System,We promise to deliver.
SCANA Corp,Power for Living.
SL Green Realty,Demanding Quality. Delivering Value.
Salesforce.com,Success on Demand.
SanDisk Corporation,NO action is too fast!
Schlumberger Ltd.,Excellence in Execution.
Scripps Networks Interactive Inc.,Stay Connected.
Seagate Technology,We turn on ideas.
Sealed Air Corp.(New),Our Products protect your Products.
Sempra Energy,For every day life.
Sherwin-Williams,Ask Sherwin-Williams.
Signet Jewelers,Every kiss begins with Kay.
Simon Property Group Inc,Self administered and self managed real estate investment trust.
Skyworks Solutions,Breakthrough Simplicity.
Smucker (J.M.),"With a name like Smucker’s, it has to be good."
Snap-On Inc.,Being a Pro Matters.
Southern Co.,Smart Energy. Smart Grid. Smart Choices.
Southwest Airlines,Stop Searching. Start Traveling.
Southwestern Energy,We are Energy.
Spectra Energy Corp.,Energy for life.
St Jude Medical,More Control. Less Risk.
Stanley Black & Decker,Performance in Action.
Staples Inc.,Make More Happen.
Starbucks Corp.,Romancing the bean.
Starwood Hotels & Resorts,Who’s taking care of you.
State Street Corp.,Passionate about our client’s success.
Stericycle Inc,Protecting People. Reducing Risk.
Stryker Corp.,We make a difference.
SunTrust Banks,Live Solid. Bank Solid. SunTrust.
Symantec Corp.,Confidence in a connected world.
Synchrony Financial,Engage With Us.
